                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93869,                 2.3161,                 1.4448,                0.90234,                0.65697,                0.86579,                0.68747,                 0.7403,                  1.436,                 1.3768,             0.00054332,             0.00054332,             0.00054332
                      2,                0.85846,                  1.164,                 1.3465,                0.60376,                0.77461,                0.74436,                0.49502,                 1.0255,                 4.2007,                 1.7762,              0.0010718,              0.0010718,              0.0010718
                      3,                0.90693,                 1.1018,                 1.3706,                0.44084,                0.60852,                0.48241,                0.22194,                 1.7633,                 7.2302,                 2.5236,              0.0015727,              0.0015727,              0.0015727
                      4,                0.91494,                 1.0597,                 1.3799,                0.23224,                0.47269,                 0.2415,                0.11347,                 2.2452,                  3.851,                 3.1166,              0.0015432,              0.0015432,              0.0015432
                      5,                0.86806,                 0.9841,                  1.322,                0.68669,                0.67339,                0.71283,                0.44424,                 1.4046,                  1.519,                 1.9966,              0.0015432,              0.0015432,              0.0015432
                      6,                0.82989,                0.95111,                 1.3107,                0.87877,                0.71997,                0.82669,                0.58235,                 1.0861,                 1.1035,                 1.8235,               0.001502,               0.001502,               0.001502
                      7,                0.82243,                0.93177,                 1.3162,                0.77232,                0.57535,                0.67465,                0.46525,                 1.2684,                 1.5349,                 1.8763,              0.0014607,              0.0014607,              0.0014607
                      8,                0.83187,                0.93411,                 1.3101,                0.90446,                0.74365,                 0.8827,                 0.7101,                0.77263,                 1.0007,                 1.3567,              0.0014195,              0.0014195,              0.0014195
                      9,                0.74964,                0.82294,                  1.253,                 0.9314,                0.88662,                0.94369,                 0.8011,                0.67647,                0.67912,                  1.291,              0.0013782,              0.0013782,              0.0013782
                     10,                0.72249,                0.79684,                 1.2361,                0.95374,                0.78583,                 0.8854,                0.73501,                0.80899,                0.80277,                 1.3721,              0.0013369,              0.0013369,              0.0013369
                     11,                0.69686,                0.74715,                 1.2054,                0.87082,                0.90402,                0.92832,                0.77679,                0.68483,                0.74424,                 1.2937,              0.0012957,              0.0012957,              0.0012957
                     12,                0.68757,                0.72968,                 1.2139,                0.92037,                0.90658,                0.94997,                 0.8128,                 0.6125,                0.62765,                 1.2083,              0.0012544,              0.0012544,              0.0012544
                     13,                0.64828,                0.68547,                 1.1757,                 0.9395,                0.91073,                0.93041,                0.81096,                0.59925,                0.60862,                 1.1982,              0.0012132,              0.0012132,              0.0012132
                     14,                0.63876,                0.64744,                 1.1739,                0.96666,                0.93286,                0.95689,                0.84153,                0.57144,                0.55299,                 1.1792,              0.0011719,              0.0011719,              0.0011719
                     15,                0.62871,                0.66429,                 1.1578,                0.92405,                0.93475,                0.96943,                 0.8556,                0.54656,                0.53963,                   1.16,              0.0011306,              0.0011306,              0.0011306
